recordDateandTime,location,predictedTemp,predictedHumidity,predictedWindSpeed,predictedPrecipitation,predictedUV,predictedPollen,modelType,email
2024-11-06T17:38:44,Philipchester,8.80,76.29,69,1.7546559055584943,4,Moderate,weight,frankrandall@example.com
2024-11-15T07:31:01,North Erinchester,-24.87,22.86,76,45.17280248054327,7,Moderate,environmental,prestonjulie@example.com
2024-11-16T20:42:49,Ericmouth,-26.97,66.96,76,4.86092073456974,0,Low,majority,nathansingh@example.org
2024-11-05T03:41:14,Garciaborough,29.75,35.08,29,42.44842121377976,10,Moderate,create,diane90@example.net
2024-11-08T21:27:56,North Marissa,15.14,85.27,51,12.227522794360802,6,Moderate,environmental,brownderek@example.org
2024-11-03T05:46:14,Rebekahton,34.50,81.10,37,18.803479804225205,2,Moderate,meeting,cynthia73@example.org
2024-11-07T23:21:33,Michellemouth,25.31,90.61,52,38.183127966185275,5,Moderate,environmental,tammy57@example.org
2024-11-21T23:45:14,Turnerstad,19.21,49.88,36,44.89944328895057,3,Moderate,meeting,wweeks@example.org
2024-11-14T20:04:13,South Melanie,9.22,49.25,96,24.62993590264326,4,High,hard,murraylogan@example.com
2024-11-21T19:19:12,East Cesarborough,21.23,62.54,8,12.693203908130474,3,Moderate,glass,zsimmons@example.org
2024-11-18T22:19:21,West Leah,-19.05,85.72,47,31.25146661120668,4,Low,girl,karenhurley@example.net
2024-11-03T01:01:51,South Jeffrey,28.67,98.59,35,7.358398797775006,5,Moderate,weight,davidrichardson@example.com
2024-11-19T21:25:22,West James,12.74,60.06,43,35.150529962595996,5,High,meeting,bakerlouis@example.com
2024-11-09T22:26:14,North Kathleenville,-10.14,85.31,48,1.0902043549292806,7,High,meeting,james73@example.org
2024-11-08T12:59:11,East Kimberly,1.56,65.82,80,26.096434142848867,8,High,all,joshua92@example.net
2024-11-07T01:13:20,West Ryanmouth,-15.30,97.92,50,24.65370578364952,10,Low,majority,kwilson@example.net
2024-11-20T17:33:08,North Samanthaborough,-16.06,64.59,100,41.0228892833311,4,Low,all,xjohnson@example.net
2024-11-07T06:19:42,Port Kathleenhaven,1.02,68.10,77,43.49192883158348,6,Low,weight,rhodescrystal@example.com
2024-11-13T18:04:54,Wesleyton,5.46,85.45,0,18.048648791760584,5,Moderate,create,anthonylewis@example.com
2024-11-21T20:33:05,South Lauren,35.65,65.81,100,5.756967486040526,7,Low,glass,kimberlysteele@example.org
2024-11-21T18:58:58,Smithside,18.28,18.75,45,5.503328774014809,5,High,girl,glen15@example.com
2024-11-12T00:41:17,Lake Ethanville,10.94,32.43,8,6.88058728361497,5,Low,meeting,chad21@example.org
2024-11-22T13:52:12,South Nicole,-4.06,66.55,5,3.103916417923591,3,High,weight,townsendlisa@example.org
2024-11-08T05:39:36,Lake Keithborough,-7.96,95.13,90,7.233765693774652,1,High,weight,radams@example.com
2024-11-22T01:16:25,North Aprilborough,-0.28,40.09,26,21.362660088896142,8,Moderate,meeting,jennifer66@example.org
2024-11-14T02:38:22,Danielleton,-25.84,84.90,46,0.10843491310587594,6,Moderate,hard,joshuaneal@example.net
2024-11-03T11:04:50,Hoganhaven,-6.49,81.01,73,4.817888384419616,9,Moderate,manager,lmckee@example.com
2024-11-11T07:31:36,Lake Stephen,-0.66,22.13,29,3.360578033628281,7,Moderate,all,fmartin@example.net
2024-11-11T00:40:44,Aliciastad,14.50,62.28,12,42.4864387685951,4,Moderate,all,catherinefox@example.com
2024-11-22T08:11:38,Williamsburgh,1.52,80.77,14,26.50078813928542,0,Moderate,meeting,fjones@example.org
2024-11-04T07:24:15,Fitzpatrickport,33.75,61.72,12,49.39266982006266,3,High,weight,gilbertlarry@example.com
2024-11-05T22:09:01,Williamsmouth,21.45,73.50,6,26.45116837669152,4,High,glass,eduardo24@example.org
2024-11-04T11:08:59,East Joshuafort,-4.04,45.36,0,43.920671640409395,8,Moderate,meeting,hartnicholas@example.net
2024-11-22T01:46:55,East Ryanfort,0.48,93.31,79,27.582790903144595,7,High,create,tzhang@example.com
2024-11-16T10:43:56,South Kariville,10.61,31.23,57,39.00193088630523,5,High,all,fgordon@example.com
2024-11-08T08:39:15,Amandahaven,33.72,46.81,38,16.062923167010123,8,Moderate,weight,markryan@example.org
2024-11-01T08:58:33,Port Dawn,10.60,77.41,97,19.916571819260504,0,Moderate,girl,lgomez@example.com
2024-11-20T07:00:00,New Natashashire,-0.86,97.14,4,10.376173367297154,3,Moderate,meeting,skelly@example.org
2024-11-15T00:53:25,Port Norman,-27.11,70.47,35,10.16009984130919,2,High,manager,kimberly22@example.net
2024-11-17T08:18:59,Port Rebeccaland,-25.08,54.25,31,5.501513283293996,4,High,create,mhorton@example.org
2024-11-09T07:19:47,Kevinfurt,-9.80,48.26,34,28.156340537532536,6,Moderate,all,david21@example.com
2024-11-06T13:18:02,South Elizabethview,13.44,57.89,32,46.47889824240241,7,Low,create,yburns@example.com
2024-11-06T07:36:27,New Robert,21.18,30.26,0,22.27115687108188,8,High,manager,vincentgonzales@example.net
2024-11-14T04:21:18,West Benjaminport,20.11,53.50,43,40.91218724897002,2,Moderate,all,chris16@example.org
2024-11-01T08:24:00,Jennifermouth,7.84,21.49,74,48.34776584511879,9,Moderate,environmental,qfischer@example.com
2024-11-21T06:33:25,Lake Andrewberg,-6.99,96.85,1,46.10304553874573,8,Moderate,hard,ukrueger@example.net
2024-11-14T06:56:16,Woodston,-8.50,32.42,3,12.572773068443743,0,Moderate,girl,daniellecervantes@example.net
2024-11-11T03:50:05,Kyleland,14.35,99.89,11,41.805331015501196,9,High,weight,jacksondebra@example.org
2024-11-17T22:02:30,Port Michael,34.99,63.39,57,0.6397647258351791,4,High,majority,ihill@example.com
2024-11-07T13:49:21,New Alanfurt,-4.57,73.19,24,14.790063811788857,7,Moderate,hard,wardbenjamin@example.net
2024-11-22T05:40:11,East Lydia,37.92,53.29,78,5.186014424789676,9,High,all,jamesjones@example.com
2024-11-17T11:45:58,East James,34.53,98.98,73,18.15925618812117,3,Low,environmental,david72@example.com
2024-11-09T16:19:31,North Alexa,-22.20,68.77,39,41.96608248647464,10,Moderate,hard,petersenrichard@example.com
2024-11-14T15:23:07,New Jacquelinemouth,32.50,30.71,95,24.151571658096195,10,Moderate,hard,charlene02@example.net
2024-11-21T13:04:24,West Mikaylamouth,-2.41,23.80,40,7.7833096502036625,1,Low,create,xjackson@example.com
2024-11-21T18:07:10,West Darrenstad,33.27,26.36,88,14.248941083031601,10,Low,hard,pamela99@example.com
2024-11-18T10:25:15,North Sarah,38.32,45.93,9,38.51972961548325,6,Moderate,all,xgeorge@example.org
2024-11-17T12:06:49,Amyborough,-12.74,40.94,62,32.063335947551096,8,Moderate,create,juliehudson@example.org
2024-11-20T03:05:57,North Christopherchester,-12.41,28.41,48,38.89844009117089,10,High,glass,jjones@example.net
2024-11-06T10:54:23,Rhodestown,6.93,14.17,67,11.255696611010347,1,Moderate,girl,garylee@example.net
2024-11-21T22:54:46,Frankborough,-17.95,91.49,61,36.46604884087958,10,Low,girl,kingamanda@example.net
2024-11-16T23:43:50,North Michael,12.68,32.51,22,41.62536253110447,5,Low,majority,phillipscarl@example.org
2024-11-20T11:35:27,Port Jeremy,-4.12,99.46,25,36.92737702068435,9,Moderate,meeting,williamsmonica@example.org
2024-11-21T05:10:25,New Danielstad,-28.05,20.53,69,13.35305480797503,1,Low,manager,smithanna@example.org
2024-11-09T02:09:49,New Jasonville,8.32,60.09,18,18.369806673808988,2,High,weight,qharris@example.com
2024-11-05T04:17:45,Port Courtney,6.35,60.00,65,39.25413885990172,3,High,hard,malexander@example.net
2024-11-22T20:03:57,North Juanstad,11.77,16.90,33,35.387465063954096,9,Moderate,environmental,ashleyclark@example.org
2024-11-06T04:36:57,South Sherimouth,9.05,38.96,6,40.24703397618263,0,Low,majority,samantha79@example.net
2024-11-14T19:05:46,South Jessica,-21.91,89.29,9,12.581148437833,1,Moderate,girl,kimberly14@example.org
2024-11-05T16:20:27,West Barbaraview,7.92,18.05,29,18.47774729295629,7,Low,environmental,veronicarobinson@example.org
2024-11-12T13:55:15,Davidmouth,32.49,87.25,85,29.860409924346285,2,Moderate,majority,michael89@example.com
2024-11-04T23:58:16,Carlborough,-11.21,31.49,17,33.43972154983321,5,Low,environmental,bmcdaniel@example.net
2024-11-03T21:17:16,Padillamouth,37.60,68.92,2,27.89394986880528,9,Low,all,stanleybrenda@example.net
2024-11-10T03:07:47,Marshallborough,10.24,85.76,60,10.086086751850642,0,High,environmental,webbjennifer@example.org
2024-11-19T19:37:46,Brianport,-15.93,38.50,33,3.626364736579424,0,Low,create,cynthiabeck@example.net
2024-11-11T05:33:11,Rossport,11.99,17.76,32,1.1716360788036173,2,Moderate,manager,fhernandez@example.com
2024-11-06T23:56:11,North Trevor,-15.94,40.53,34,27.819054647928958,2,Moderate,glass,taylor45@example.net
2024-11-09T16:52:54,Vasquezbury,15.06,50.72,17,18.00183274159803,6,High,glass,frank97@example.com
2024-11-05T06:38:38,Perrymouth,9.92,66.63,81,13.45242278093538,8,High,all,david94@example.org
2024-11-03T07:36:12,Frenchville,19.79,90.94,95,3.1665223002082135,0,Moderate,weight,rreed@example.net
2024-11-06T04:51:58,South Alyssa,-15.93,56.99,10,16.446927379092823,10,Low,environmental,james67@example.org
2024-11-16T14:45:32,North Ericside,26.70,33.55,72,19.421721567716094,1,High,girl,kyle80@example.com
2024-11-16T21:44:45,North Anne,-16.94,84.28,100,9.459736471202607,6,Moderate,hard,donaldspence@example.com
2024-11-19T08:03:47,Gilbertbury,4.51,93.03,12,16.641414119223363,9,Moderate,create,ericpeters@example.net
2024-11-15T10:36:03,Turnerton,-11.53,47.69,58,28.452641383647364,1,Moderate,glass,davisdiane@example.org
2024-11-09T01:56:41,Lake Jasonshire,2.87,79.96,59,49.529588353924815,9,Low,girl,xstein@example.org
2024-11-21T09:22:11,New Joshua,0.20,28.49,21,47.688221838216045,6,Low,all,shannonreyes@example.org
2024-11-03T06:57:07,Donaldview,33.70,19.03,72,13.723599761816446,4,Moderate,girl,jeffrey15@example.org
2024-11-06T06:25:06,Saraton,14.68,14.98,43,29.22059066092259,8,Moderate,hard,sstevens@example.com
2024-11-15T13:25:25,West Hunter,-29.16,34.09,2,26.716958574705224,7,High,meeting,edward15@example.org
2024-11-22T10:21:19,Rodneychester,-13.35,10.81,38,33.439821813997874,5,Moderate,manager,michael37@example.org
2024-11-09T10:15:04,Port Ray,39.81,70.53,23,1.2545138535347056,9,Moderate,hard,lisa85@example.org
2024-11-11T05:44:51,Courtneybury,17.82,99.43,26,19.428945233893508,1,Low,all,jamesgarcia@example.org
2024-11-02T00:40:09,Kingside,35.92,25.94,5,37.290742705803765,0,High,majority,leslieyang@example.com
2024-11-06T22:29:27,Devonmouth,-8.56,41.18,57,11.058428674551818,9,Moderate,girl,mcfarlandchad@example.com
2024-11-19T04:59:46,Ryanside,-0.56,40.57,73,22.779799565788757,6,High,girl,vhicks@example.net
2024-11-16T02:18:04,Mariaport,0.26,77.63,26,49.84244434474195,9,High,weight,owenspatrick@example.com
2024-11-11T21:15:29,East Raymondstad,22.02,11.47,34,22.870003373593473,4,Moderate,create,adamsmichelle@example.org
2024-11-16T15:50:50,South Ashley,39.28,57.71,94,17.620194917323317,10,Moderate,environmental,courtney93@example.org
2024-11-03T10:52:05,Lake Lauren,-26.46,22.06,100,27.54974237770902,3,High,majority,smithashley@example.net
2024-11-19T09:25:43,Lake Jacobside,-4.50,33.17,73,43.1717105226867,8,Moderate,girl,christinesawyer@example.org
2024-11-13T13:42:48,New James,-18.08,50.11,15,13.046540562626575,0,Moderate,meeting,rachelcraig@example.org
2024-11-14T22:58:15,Griffithstad,-2.80,80.53,19,49.68415655003133,6,Moderate,weight,jamesmichael@example.com
2024-11-13T08:59:22,West Daniel,-11.90,44.06,27,12.501907246359595,6,Moderate,all,harrisjamie@example.org
2024-11-03T18:41:12,New Meredith,24.67,19.75,4,40.7227974734749,6,Moderate,meeting,rrangel@example.com
2024-11-12T17:13:38,Deborahstad,29.23,99.86,55,47.266034651723615,10,Moderate,environmental,angelahouse@example.net
