email,username,userPassword,location,permissionLevel,units,defaultLocation,notifications,savedSearches,userRole
fmcgrath@example.net,zsanchez,8WnKJIm8%R,West Deanna,Guest,Imperial,South Williamberg,Disabled,no,Basic
webbjennifer@example.org,bzavala,FQV+ObSp*9,West Derekberg,Guest,Metric,Diazton,Disabled,when,Basic
brandy34@example.org,lynn24,ZLo9ZpL1^e,Christopherfort,Guest,Imperial,Lake Tyler,Disabled,lose,VIP
dbrown@example.com,troy74,_U2y$WunH$,Port David,Guest,Imperial,Hughesshire,Disabled,sit,VIP
devingreen@example.net,lindseyhamilton,+s2TG3aL9u,West Laura,Admin,Metric,Tiffanyfurt,Enabled,themselves,Premium
jthomas@example.org,olsonmichelle,+lFd%xsj37,Davidhaven,User,Metric,Thomasstad,Disabled,board,Premium
adriennegarrison@example.org,chad02,rguH&k5n^9,Jenkinsville,Guest,Imperial,East Jessica,Enabled,police,Basic
russelltravis@example.com,wsullivan,H)O9lEcv2J,North Matthewstad,Admin,Imperial,New Aliciaside,Enabled,actually,Basic
teresawilliams@example.com,ckelly,&3VtIU7kLy,Tammyfurt,Admin,Imperial,Lake Jessicaport,Enabled,sell,VIP
dianewilliams@example.net,zcoffey,RG69O1Ql%$,Lake Christinashire,User,Metric,Duncanmouth,Disabled,hotel,Basic
matthew22@example.com,zacharyjackson,0og32eIc(&,Alexabury,Admin,Imperial,Smithtown,Enabled,choose,VIP
frankbrenda@example.net,ronald20,(F0mGEkfc*,East Lisa,Admin,Imperial,New Michellechester,Disabled,standard,VIP
chad20@example.com,millerrose,yb$2Ad#GvJ,Port Stephanie,Guest,Metric,Jameston,Enabled,speak,Premium
jamesmcneil@example.com,everettrebecca,ZJj*1Apdme,Kathleenside,User,Imperial,North Courtneyshire,Disabled,brother,Basic
harrisonjoseph@example.org,jonestyler,+8RvinBeVV,Caseyview,User,Metric,Padillaview,Disabled,into,Basic
